2019-08-07 13:45:54,181 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:54,395 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:45:55,405 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:55,439 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:45:55,447 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:55,486 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:45:55,513 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:55,563 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:45:55,577 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(186) | 生产者启动,当前模式为[[work模式]]
2019-08-07 13:45:55,578 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(187) | 生产者向交换机 [sendByWork] 发送消息成功
2019-08-07 13:45:55,646 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:55,713 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:45:55,714 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(215) | 生产者启动,当前模式为[[work模式]]
2019-08-07 13:45:55,714 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(216) | 生产者向交换机 [sendByWork] 发送消息成功
2019-08-07 13:45:55,726 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:55,763 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(77) | 通道启动初始化成功
2019-08-07 13:45:55,764 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByFanout(118) | 生产者启动,当前模式为[[广播模式]]
2019-08-07 13:45:55,764 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByFanout(119) | 生产者向交换机 [sendByFanout] 发送消息成功
2019-08-07 13:45:55,772 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:45:55,815 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:45:55,821 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendBySimple(53) | 生产者启动,当前模式为[[点对点模式]]
2019-08-07 13:45:55,822 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendBySimple(54) | 生产者向队列 [Test_Simple] 发送消息成功
